Reading training examples...done
Iter 1: +++++++++.........:*(NumConst=1, SV=1, CEps=7.3687, QPEps=0.0000)
Iter 2: +++++++++:*(NumConst=2, SV=1, CEps=1.0968, QPEps=0.0000)
Iter 3: +++++++++.........:*(NumConst=3, SV=2, CEps=10.7690, QPEps=0.0000)
Iter 4: +++++++++:*(NumConst=4, SV=2, CEps=1.1866, QPEps=0.0000)
Iter 5: +++++++++.........:*(NumConst=5, SV=3, CEps=11.9861, QPEps=0.0000)
Iter 6: +++++++++:*(NumConst=6, SV=3, CEps=1.4203, QPEps=0.0000)
Iter 7: +++++++++:*(NumConst=7, SV=1, CEps=0.8007, QPEps=0.1430)
Iter 8: +++++++++.........:*(NumConst=8, SV=3, CEps=18.4145, QPEps=0.0508)
Iter 9: +++++++++:*(NumConst=9, SV=2, CEps=1.4174, QPEps=0.0025)
Iter 10: +++++++++.........:*(NumConst=10, SV=5, CEps=17.1417, QPEps=1.2067)
Iter 11: +++++++++:*(NumConst=11, SV=4, CEps=1.6672, QPEps=0.0031)
Iter 12: +++++++++:*(NumConst=12, SV=5, CEps=0.8314, QPEps=0.3544)
Iter 13: +++++++++:*(NumConst=13, SV=4, CEps=0.8855, QPEps=0.0535)
Iter 14: +++++++++.........:*(NumConst=14, SV=6, CEps=18.8411, QPEps=1.3240)
Iter 15: +++++++++:*(NumConst=15, SV=5, CEps=1.4521, QPEps=0.0759)
Iter 16: +++++++++:*(NumConst=16, SV=5, CEps=0.7581, QPEps=0.0216)
Iter 17: +++++++++.........:*(NumConst=17, SV=7, CEps=19.7233, QPEps=0.2187)
Iter 18: +++++++++:*(NumConst=18, SV=7, CEps=1.5754, QPEps=0.0809)
Iter 19: +++++++++:*(NumConst=19, SV=5, CEps=0.8563, QPEps=0.0686)
Iter 20: +++++++++:*(NumConst=20, SV=5, CEps=0.7602, QPEps=0.0231)
Iter 21: +++++++++.........:*(NumConst=21, SV=7, CEps=19.9628, QPEps=1.4029)
Iter 22: +++++++++:*(NumConst=22, SV=6, CEps=1.8538, QPEps=0.0126)
Iter 23: +++++++++:*(NumConst=23, SV=6, CEps=0.7540, QPEps=0.0133)
Iter 24: +++++++++.........:*(NumConst=24, SV=8, CEps=19.6612, QPEps=1.7483)
Iter 25: +++++++++:*(NumConst=25, SV=7, CEps=2.1543, QPEps=0.0001)
Iter 26: +++++++++:*(NumConst=26, SV=7, CEps=0.8981, QPEps=0.0214)
Iter 27: +++++++++.........:*(NumConst=27, SV=9, CEps=20.0797, QPEps=0.0000)
Iter 28: +++++++++:*(NumConst=28, SV=8, CEps=2.2303, QPEps=0.0000)
Iter 29: +++++++++:*(NumConst=29, SV=8, CEps=0.8916, QPEps=0.0000)
Iter 30: +++++++++.........:*(NumConst=30, SV=9, CEps=24.7230, QPEps=0.0000)
Iter 31: +++++++++:*(NumConst=31, SV=9, CEps=2.0933, QPEps=0.0000)
Iter 32: +++++++++:*(NumConst=32, SV=11, CEps=0.9706, QPEps=0.1313)
Iter 33: +++++++++.........:*(NumConst=33, SV=11, CEps=24.2364, QPEps=0.4416)
