Reading training examples...done
Iter 69: +++++++++:*(NumConst=63, SV=28, CEps=0.6292, QPEps=0.1240)
Iter 70: +++++++++.........:*(NumConst=63, SV=30, CEps=11.1942, QPEps=1.3949)
Iter 71: +++++++++.........:*(NumConst=64, SV=32, CEps=9.6749, QPEps=1.2020)
Iter 72: +++++++++:*(NumConst=65, SV=30, CEps=1.6635, QPEps=0.5704)
Iter 73: +++++++++:*(NumConst=66, SV=31, CEps=0.9121, QPEps=0.3603)
Iter 74: +++++++++:*(NumConst=67, SV=32, CEps=1.2762, QPEps=0.3609)
Iter 75: +++++++++:*(NumConst=67, SV=30, CEps=0.6602, QPEps=0.3080)
Iter 76: +++++++++.........:*(NumConst=67, SV=32, CEps=16.4734, QPEps=0.6812)
Iter 77: +++++++++:*(NumConst=68, SV=31, CEps=1.3620, QPEps=0.3858)
Iter 78: +++++++++:*(NumConst=68, SV=33, CEps=0.5759, QPEps=0.1792)
Iter 79: +++++++++:*(NumConst=69, SV=28, CEps=0.5124, QPEps=0.0796)
Iter 80: +++++++++:*(NumConst=70, SV=29, CEps=0.6198, QPEps=0.2290)
Iter 81: +++++++++.........:*(NumConst=71, SV=32, CEps=20.7667, QPEps=1.7966)
Iter 82: +++++++++:*(NumConst=71, SV=32, CEps=0.8375, QPEps=0.2789)
Iter 83: +++++++++.........:*(NumConst=72, SV=34, CEps=15.9548, QPEps=1.4138)
Iter 84: +++++++++:*(NumConst=73, SV=34, CEps=0.7147, QPEps=0.3355)
Iter 85: +++++++++:*(NumConst=74, SV=33, CEps=0.6443, QPEps=0.2994)
Iter 86: +++++++++.........:*(NumConst=75, SV=34, CEps=13.4905, QPEps=1.3064)
Iter 87: +++++++++:*(NumConst=76, SV=33, CEps=1.2523, QPEps=0.4426)
Iter 88: +++++++++.........:*(NumConst=76, SV=34, CEps=11.5488, QPEps=0.8763)
Iter 89: +++++++++:*(NumConst=77, SV=35, CEps=1.5095, QPEps=0.3048)
Iter 90: +++++++++:*(NumConst=77, SV=35, CEps=0.8187, QPEps=0.2755)
Iter 91: +++++++++:*(NumConst=78, SV=35, CEps=0.7893, QPEps=0.2140)
Iter 92: +++++++++.........:*(NumConst=77, SV=33, CEps=11.3262, QPEps=1.0581)
Iter 93: +++++++++:*(NumConst=77, SV=31, CEps=1.1832, QPEps=0.1764)
Iter 94: +++++++++:*(NumConst=78, SV=33, CEps=0.6213, QPEps=0.2976)
Iter 95: +++++++++.........:*(NumConst=79, SV=35, CEps=9.9172, QPEps=1.2958)
Iter 96: +++++++++:*(NumConst=78, SV=38, CEps=1.0376, QPEps=0.4600)
Iter 97: +++++++++:*(NumConst=79, SV=37, CEps=0.6957, QPEps=0.2111)
Iter 98: +++++++++:*(NumConst=80, SV=34, CEps=0.9359, QPEps=0.2275)
Iter 99: +++++++++.........:*(NumConst=81, SV=35, CEps=17.5196, QPEps=1.1938)
Iter 100: +++++++++:*(NumConst=81, SV=38, CEps=1.2409, QPEps=0.3296)
Iter 101: +++++++++:*(NumConst=82, SV=37, CEps=0.5357, QPEps=0.2012)
Iter 102: +++++++++.........:*(NumConst=82, SV=38, CEps=12.4666, QPEps=1.0219)
Iter 103: +++++++++:*(NumConst=83, SV=38, CEps=1.1767, QPEps=0.5561)
Iter 104: +++++++++:*(NumConst=84, SV=37, CEps=0.6203, QPEps=0.2563)
Iter 105: +++++++++:*(NumConst=85, SV=36, CEps=0.8890, QPEps=0.2591)
Iter 106: +++++++++:*(NumConst=86, SV=37, CEps=0.5103, QPEps=0.2164)
Iter 107: +++++++++:*(NumConst=87, SV=34, CEps=0.5787, QPEps=0.1843)
Iter 108: +++++++++.........:*(NumConst=88, SV=35, CEps=13.9070, QPEps=2.1785)
Iter 109: +++++++++:*(NumConst=88, SV=36, CEps=0.6962, QPEps=0.2813)
Iter 110: +++++++++:*(NumConst=89, SV=34, CEps=0.6246, QPEps=0.2220)
Iter 111: +++++++++.........:*(NumConst=88, SV=35, CEps=13.5261, QPEps=1.8050)
Iter 112: +++++++++:*(NumConst=88, SV=35, CEps=0.8142, QPEps=0.3534)
Iter 113: +++++++++:*(NumConst=89, SV=35, CEps=0.7658, QPEps=0.3025)
Iter 114: +++++++++.........:*(NumConst=89, SV=34, CEps=10.9470, QPEps=1.8480)
Iter 115: +++++++++:*(NumConst=90, SV=35, CEps=1.0364, QPEps=0.3064)
Iter 116: +++++++++:*(NumConst=91, SV=39, CEps=0.8466, QPEps=0.3218)
Iter 117: +++++++++.........:*(NumConst=91, SV=39, CEps=10.8701, QPEps=1.5708)
Iter 118: +++++++++:*(NumConst=91, SV=36, CEps=1.2567, QPEps=0.2598)
Iter 119: +++++++++:*(NumConst=92, SV=39, CEps=0.5915, QPEps=0.2919)
Iter 120: +++++++++:*(NumConst=93, SV=38, CEps=0.5441, QPEps=0.2410)
Iter 121: +++++++++:*(NumConst=93, SV=40, CEps=0.5369, QPEps=0.1197)
Iter 122: +++++++++:*(NumConst=94, SV=40, CEps=0.5617, QPEps=0.2680)
Iter 123: +++++++++.........:*(NumConst=94, SV=40, CEps=13.6098, QPEps=0.5700)
Iter 124: +++++++++:*(NumConst=94, SV=40, CEps=1.2612, QPEps=0.2204)
Iter 125: +++++++++:*(NumConst=95, SV=41, CEps=0.5944, QPEps=0.2188)
Iter 126: +++++++++.........:*(NumConst=95, SV=41, CEps=10.9430, QPEps=2.0249)
Iter 127: +++++++++:*(NumConst=94, SV=41, CEps=0.5362, QPEps=0.0780)
Iter 128: +++++++++:*(NumConst=92, SV=41, CEps=0.9190, QPEps=0.2522)
Iter 129: +++++++++.........:*(NumConst=93, SV=42, CEps=9.0319, QPEps=1.9772)
Iter 130: +++++++++:*(NumConst=94, SV=43, CEps=1.6413, QPEps=0.3224)
Iter 131: +++++++++:*(NumConst=95, SV=47, CEps=0.6764, QPEps=0.1517)
Iter 132: +++++++++:*(NumConst=96, SV=46, CEps=0.5340, QPEps=0.1720)
Iter 133: +++++++++.........:*(NumConst=96, SV=47, CEps=17.2287, QPEps=2.1282)
Iter 134: +++++++++:*(NumConst=96, SV=47, CEps=1.0467, QPEps=0.1905)
Iter 135: +++++++++:*(NumConst=97, SV=47, CEps=0.5572, QPEps=0.1457)
Iter 136: +++++++++.........:*(NumConst=97, SV=48, CEps=33.1856, QPEps=2.1278)
Iter 137: +++++++++:*(NumConst=98, SV=47, CEps=1.1624, QPEps=0.2342)
Iter 138: +++++++++:*(NumConst=98, SV=46, CEps=0.5733, QPEps=0.0978)
Iter 139: +++++++++.........:*(NumConst=99, SV=46, CEps=13.2809, QPEps=2.2214)
Iter 140: +++++++++:*(NumConst=98, SV=47, CEps=1.1664, QPEps=0.2024)
Iter 141: +++++++++:*(NumConst=97, SV=46, CEps=0.6583, QPEps=0.2421)
Iter 142: +++++++++.........:*(NumConst=96, SV=48, CEps=9.4490, QPEps=1.8733)
Iter 143: +++++++++:*(NumConst=96, SV=50, CEps=0.6021, QPEps=0.2872)
Iter 144: +++++++++:*(NumConst=97, SV=48, CEps=0.8455, QPEps=0.2521)
Iter 145: +++++++++.........:*(NumConst=97, SV=49, CEps=14.2640, QPEps=0.9306)
Iter 146: +++++++++:*(NumConst=95, SV=50, CEps=1.3721, QPEps=0.2285)
Iter 147: +++++++++:*(NumConst=93, SV=50, CEps=0.5489, QPEps=0.2231)
Iter 148: +++++++++.........:*(NumConst=94, SV=51, CEps=9.9725, QPEps=2.1479)
Iter 149: +++++++++:*(NumConst=94, SV=53, CEps=0.9808, QPEps=0.3980)
Iter 150: +++++++++:*(NumConst=95, SV=52, CEps=0.9489, QPEps=0.4099)
Iter 151: +++++++++:*(NumConst=96, SV=51, CEps=0.9906, QPEps=0.4052)
Iter 152: +++++++++.........:*(NumConst=96, SV=53, CEps=17.3013, QPEps=1.9166)
Iter 153: +++++++++:*(NumConst=96, SV=52, CEps=0.6809, QPEps=0.1335)
Iter 154: +++++++++:*(NumConst=97, SV=50, CEps=0.6939, QPEps=0.2007)
Iter 155: +++++++++.........:*(NumConst=96, SV=51, CEps=15.1248, QPEps=0.9445)
Iter 156: +++++++++:*(NumConst=96, SV=54, CEps=1.0436, QPEps=0.3992)
Iter 157: +++++++++:*(NumConst=97, SV=54, CEps=0.8096, QPEps=0.3710)
Iter 158: +++++++++:*(NumConst=97, SV=50, CEps=0.5869, QPEps=0.2778)
Iter 159: +++++++++:*(NumConst=97, SV=53, CEps=0.7073, QPEps=0.2497)
Iter 160: +++++++++:*(NumConst=98, SV=50, CEps=0.6860, QPEps=0.2361)
Iter 161: +++++++++.........:*(NumConst=98, SV=51, CEps=21.0267, QPEps=1.6533)
Iter 162: +++++++++:*(NumConst=98, SV=52, CEps=1.2363, QPEps=0.5623)
Iter 163: +++++++++:*(NumConst=99, SV=50, CEps=0.5544, QPEps=0.2396)
Iter 164: +++++++++.........:*(NumConst=99, SV=50, CEps=14.4518, QPEps=2.0518)
Iter 165: +++++++++:*(NumConst=98, SV=52, CEps=0.6553, QPEps=0.2562)
Iter 166: +++++++++:*(NumConst=99, SV=52, CEps=0.8578, QPEps=0.3060)
Iter 167: +++++++++.........:*(NumConst=99, SV=52, CEps=13.5587, QPEps=2.0284)
Iter 168: +++++++++:*(NumConst=99, SV=54, CEps=0.8449, QPEps=0.4041)
Iter 169: +++++++++:*(NumConst=99, SV=52, CEps=0.8088, QPEps=0.3928)
Iter 170: +++++++++:*(NumConst=100, SV=52, CEps=0.6465, QPEps=0.2890)
Iter 171: +++++++++.........:*(NumConst=100, SV=54, CEps=14.3634, QPEps=1.0173)
Iter 172: +++++++++:*(NumConst=101, SV=51, CEps=1.4195, QPEps=0.2609)
Iter 173: +++++++++:*(NumConst=101, SV=52, CEps=0.6996, QPEps=0.3491)
Iter 174: +++++++++.........:*(NumConst=101, SV=53, CEps=10.3930, QPEps=1.2548)
Iter 175: +++++++++:*(NumConst=102, SV=51, CEps=1.4942, QPEps=0.2996)
Iter 176: +++++++++:*(NumConst=102, SV=51, CEps=0.7019, QPEps=0.1585)
Iter 177: +++++++++:*(NumConst=102, SV=52, CEps=0.5467, QPEps=0.1887)
Iter 178: +++++++++.........:*(NumConst=103, SV=53, CEps=9.8355, QPEps=1.8455)
Iter 179: +++++++++:*(NumConst=103, SV=52, CEps=0.8931, QPEps=0.4185)
Iter 180: +++++++++:*(NumConst=104, SV=51, CEps=0.8514, QPEps=0.4247)
Iter 181: +++++++++.........:*(NumConst=105, SV=52, CEps=13.5940, QPEps=0.8973)
Iter 182: +++++++++:*(NumConst=106, SV=53, CEps=1.5612, QPEps=0.7621)
Iter 183: +++++++++.........:*(NumConst=106, SV=53, CEps=12.9012, QPEps=0.9573)
Iter 184: +++++++++:*(NumConst=107, SV=52, CEps=1.4735, QPEps=0.3135)
Iter 185: +++++++++:*(NumConst=108, SV=54, CEps=0.8440, QPEps=0.2360)
Iter 186: +++++++++:*(NumConst=109, SV=52, CEps=0.8142, QPEps=0.3131)
Iter 187: +++++++++:*(NumConst=110, SV=51, CEps=0.6009, QPEps=0.2948)
Iter 188: +++++++++.........:*(NumConst=111, SV=52, CEps=19.0800, QPEps=0.4559)
Iter 189: +++++++++:*(NumConst=111, SV=54, CEps=1.3973, QPEps=0.4624)
Iter 190: +++++++++.........:*(NumConst=111, SV=54, CEps=12.4502, QPEps=1.8154)
Iter 191: +++++++++:*(NumConst=112, SV=53, CEps=1.4396, QPEps=0.7173)
Iter 192: +++++++++:*(NumConst=112, SV=50, CEps=0.5278, QPEps=0.2263)
Iter 193: +++++++++:*(NumConst=111, SV=51, CEps=0.6787, QPEps=0.2543)
Iter 194: +++++++++:*(NumConst=112, SV=49, CEps=0.5097, QPEps=0.2510)
Iter 195: +++++++++.........:*(NumConst=112, SV=50, CEps=19.8876, QPEps=0.8497)
Iter 196: +++++++++:*(NumConst=112, SV=51, CEps=1.1900, QPEps=0.2929)
Iter 197: +++++++++:*(NumConst=113, SV=51, CEps=0.6279, QPEps=0.2863)
Iter 198: +++++++++.........:*(NumConst=112, SV=49, CEps=13.5092, QPEps=1.5238)
Iter 199: +++++++++:*(NumConst=111, SV=48, CEps=1.4513, QPEps=0.2361)
Iter 200: +++++++++:*(NumConst=111, SV=48, CEps=0.6224, QPEps=0.1698)
Iter 201: +++++++++.........:*(NumConst=112, SV=49, CEps=14.7127, QPEps=0.4540)
Iter 202: +++++++++:*(NumConst=112, SV=48, CEps=1.4212, QPEps=0.3764)
Iter 203: +++++++++:*(NumConst=111, SV=48, CEps=0.6639, QPEps=0.1366)
Iter 204: +++++++++.........:*(NumConst=112, SV=46, CEps=10.8011, QPEps=1.8179)
Iter 205: +++++++++:*(NumConst=112, SV=45, CEps=1.7948, QPEps=0.2607)
Iter 206: +++++++++:*(NumConst=112, SV=48, CEps=0.5514, QPEps=0.1462)
Iter 207: +++++++++.........:*(NumConst=112, SV=48, CEps=11.9209, QPEps=2.0977)
Iter 208: +++++++++:*(NumConst=113, SV=48, CEps=1.3452, QPEps=0.5633)
Iter 209: +++++++++.........:*(NumConst=113, SV=50, CEps=9.4794, QPEps=2.0266)
Iter 210: +++++++++:*(NumConst=114, SV=50, CEps=1.6614, QPEps=0.3834)
Iter 211: +++++++++:*(NumConst=114, SV=47, CEps=0.9978, QPEps=0.2521)
Iter 212: +++++++++:*(NumConst=112, SV=47, CEps=0.7098, QPEps=0.3132)
Iter 213: +++++++++:*(NumConst=112, SV=50, CEps=0.6795, QPEps=0.3356)
Iter 214: +++++++++.........:*(NumConst=112, SV=51, CEps=12.5495, QPEps=1.3663)
Iter 215: +++++++++:*(NumConst=112, SV=51, CEps=1.2741, QPEps=0.5418)
Iter 216: +++++++++:*(NumConst=113, SV=55, CEps=0.6174, QPEps=0.1314)
Iter 217: +++++++++:*(NumConst=112, SV=53, CEps=0.5980, QPEps=0.2736)
Iter 218: +++++++++.........:*(NumConst=110, SV=54, CEps=12.8564, QPEps=0.4106)
Iter 219: +++++++++:*(NumConst=109, SV=53, CEps=1.6062, QPEps=0.7657)
Iter 220: +++++++++.........:*(NumConst=110, SV=54, CEps=10.8290, QPEps=1.0919)
Iter 221: +++++++++:*(NumConst=110, SV=56, CEps=1.9337, QPEps=0.9248)
Iter 222: +++++++++:*(NumConst=110, SV=57, CEps=0.8840, QPEps=0.4386)
Iter 223: +++++++++:*(NumConst=111, SV=54, CEps=0.8014, QPEps=0.3489)
Iter 224: +++++++++:*(NumConst=111, SV=51, CEps=0.7127, QPEps=0.2558)
Iter 225: +++++++++.........:*(NumConst=110, SV=50, CEps=19.2719, QPEps=1.6269)
Iter 226: +++++++++:*(NumConst=111, SV=50, CEps=1.6087, QPEps=0.3029)
Iter 227: +++++++++:*(NumConst=112, SV=49, CEps=0.8468, QPEps=0.2926)
Iter 228: +++++++++:*(NumConst=112, SV=53, CEps=0.5735, QPEps=0.2267)
Iter 229: +++++++++:*(NumConst=113, SV=48, CEps=0.6165, QPEps=0.2827)
Iter 230: +++++++++.........:*(NumConst=114, SV=49, CEps=14.3973, QPEps=0.2863)
Iter 231: +++++++++:*(NumConst=114, SV=49, CEps=1.4528, QPEps=0.1731)
Iter 232: +++++++++:*(NumConst=114, SV=48, CEps=0.6489, QPEps=0.3002)
Iter 233: +++++++++.........:*(NumConst=114, SV=49, CEps=10.4539, QPEps=0.9807)
Iter 234: +++++++++:*(NumConst=114, SV=49, CEps=1.2899, QPEps=0.3793)
Iter 235: +++++++++:*(NumConst=114, SV=52, CEps=0.7365, QPEps=0.2387)
Iter 236: +++++++++:*(NumConst=114, SV=51, CEps=0.9410, QPEps=0.3395)
Iter 237: +++++++++.........:*(NumConst=115, SV=51, CEps=14.2077, QPEps=1.5779)
Iter 238: +++++++++:*(NumConst=115, SV=52, CEps=1.1299, QPEps=0.2974)
Iter 239: +++++++++:*(NumConst=116, SV=55, CEps=0.5102, QPEps=0.2220)
Iter 240: +++++++++:*(NumConst=114, SV=49, CEps=0.6151, QPEps=0.2184)
Iter 241: +++++++++.........:*(NumConst=113, SV=49, CEps=14.4642, QPEps=0.3174)
Iter 242: +++++++++:*(NumConst=112, SV=47, CEps=1.3492, QPEps=0.2453)
Iter 243: +++++++++:*(NumConst=113, SV=50, CEps=0.5439, QPEps=0.1990)
Iter 244: +++++++++.........:*(NumConst=113, SV=50, CEps=9.9389, QPEps=0.3703)
Iter 245: +++++++++:*(NumConst=113, SV=51, CEps=1.5416, QPEps=0.5465)
Iter 246: +++++++++.........:*(NumConst=114, SV=50, CEps=9.4989, QPEps=1.7808)
Iter 247: +++++++++:*(NumConst=114, SV=50, CEps=0.8624, QPEps=0.3351)
Iter 248: +++++++++:*(NumConst=114, SV=51, CEps=1.0438, QPEps=0.3552)
Iter 249: +++++++++:*(NumConst=115, SV=52, CEps=0.5255, QPEps=0.2447)
Iter 250: +++++++++:*(NumConst=116, SV=53, CEps=0.6327, QPEps=0.1749)
Iter 251: +++++++++:*(NumConst=116, SV=51, CEps=0.6418, QPEps=0.1777)
Iter 252: +++++++++:*(NumConst=117, SV=51, CEps=0.6252, QPEps=0.2090)
Iter 253: +++++++++:*(NumConst=117, SV=50, CEps=0.5436, QPEps=0.2402)
Iter 254: +++++++++.........:*(NumConst=116, SV=50, CEps=12.0128, QPEps=1.7740)
Iter 255: +++++++++:*(NumConst=116, SV=49, CEps=0.8022, QPEps=0.2105)
Iter 256: +++++++++:*(NumConst=117, SV=50, CEps=0.8528, QPEps=0.1998)
Iter 257: +++++++++:*(NumConst=117, SV=53, CEps=0.5224, QPEps=0.2511)
Iter 258: +++++++++:*(NumConst=118, SV=50, CEps=0.7630, QPEps=0.1871)
Iter 259: +++++++++.........:*(NumConst=119, SV=50, CEps=14.9756, QPEps=0.3424)
Iter 260: +++++++++:*(NumConst=118, SV=49, CEps=1.2129, QPEps=0.3441)
Iter 261: +++++++++.........:*(NumConst=118, SV=50, CEps=11.8613, QPEps=1.0241)
Iter 262: +++++++++:*(NumConst=119, SV=50, CEps=0.6676, QPEps=0.1831)
Iter 263: +++++++++:*(NumConst=120, SV=51, CEps=0.7053, QPEps=0.3106)
Iter 264: +++++++++:*(NumConst=121, SV=51, CEps=0.5346, QPEps=0.2449)
Iter 265: +++++++++.........:*(NumConst=121, SV=52, CEps=13.2417, QPEps=2.1097)
Iter 266: +++++++++:*(NumConst=121, SV=51, CEps=1.2443, QPEps=0.5209)
Iter 267: +++++++++:*(NumConst=122, SV=50, CEps=0.5439, QPEps=0.2232)
Iter 268: +++++++++.........:*(NumConst=122, SV=51, CEps=9.3484, QPEps=2.0638)
Iter 269: +++++++++.........:*(NumConst=123, SV=50, CEps=7.6694, QPEps=0.7474)
Iter 270: +++++++++:*(NumConst=123, SV=51, CEps=1.8519, QPEps=0.8511)
Iter 271: +++++++++:*(NumConst=123, SV=53, CEps=0.9690, QPEps=0.3705)
Iter 272: +++++++++:*(NumConst=122, SV=52, CEps=0.6749, QPEps=0.3366)
Iter 273: +++++++++:*(NumConst=119, SV=51, CEps=0.8024, QPEps=0.3223)
Iter 274: +++++++++.........:*(NumConst=120, SV=51, CEps=13.7699, QPEps=0.8556)
Iter 275: +++++++++:*(NumConst=120, SV=50, CEps=1.3320, QPEps=0.4474)
Iter 276: +++++++++.........:*(NumConst=121, SV=51, CEps=10.6095, QPEps=0.9322)
Iter 277: +++++++++:*(NumConst=120, SV=51, CEps=1.1577, QPEps=0.5004)
Iter 278: +++++++++.........:*(NumConst=119, SV=49, CEps=8.6028, QPEps=1.3868)
Iter 279: +++++++++:*(NumConst=120, SV=48, CEps=0.8993, QPEps=0.3672)
Iter 280: +++++++++:*(NumConst=120, SV=49, CEps=0.9415, QPEps=0.2841)
Iter 281: +++++++++:*(NumConst=119, SV=47, CEps=0.6206, QPEps=0.2061)
Iter 282: +++++++++:*(NumConst=120, SV=48, CEps=0.5014, QPEps=0.1980)
Iter 283: +++++++++.........:*(NumConst=120, SV=49, CEps=9.0484, QPEps=2.0421)
Iter 284: +++++++++:*(NumConst=118, SV=47, CEps=1.0065, QPEps=0.2421)
Iter 285: +++++++++.........:*(NumConst=118, SV=50, CEps=6.5920, QPEps=1.9827)
Iter 286: +++++++++:*(NumConst=119, SV=54, CEps=0.5499, QPEps=0.1228)
Iter 287: +++++++++:*(NumConst=119, SV=56, CEps=1.0296, QPEps=0.2425)
Iter 288: +++++++++:*(NumConst=118, SV=58, CEps=0.7610, QPEps=0.2707)
Iter 289: +++++++++.........:*(NumConst=118, SV=59, CEps=13.2700, QPEps=1.1536)
Iter 290: +++++++++:*(NumConst=119, SV=58, CEps=0.8525, QPEps=0.3452)
Iter 291: +++++++++:*(NumConst=118, SV=57, CEps=0.5022, QPEps=0.2262)
Iter 292: +++++++++.........:*(NumConst=119, SV=57, CEps=8.3475, QPEps=1.8558)
Iter 293: +++++++++:*(NumConst=118, SV=57, CEps=1.0004, QPEps=0.3340)
Iter 294: +++++++++.........:*(NumConst=117, SV=58, CEps=9.1983, QPEps=1.3838)
