Reading training examples...done
Iter 1: +++++++++.........:*(NumConst=1, SV=1, CEps=2.9211, QPEps=0.0000)
Iter 2: +++++++++.........:*(NumConst=2, SV=2, CEps=3.8091, QPEps=0.0000)
Iter 3: +++++++++:*(NumConst=3, SV=1, CEps=0.6083, QPEps=0.0162)
Iter 4: +++++++++.........:*(NumConst=4, SV=2, CEps=5.1724, QPEps=0.0265)
Iter 5: +++++++++:*(NumConst=5, SV=2, CEps=0.5802, QPEps=0.0657)
Iter 6: +++++++++.........:*(NumConst=6, SV=4, CEps=5.6953, QPEps=1.2161)
Iter 7: +++++++++:*(NumConst=7, SV=3, CEps=0.6907, QPEps=0.0348)
Iter 8: +++++++++.........:*(NumConst=8, SV=5, CEps=6.7034, QPEps=0.7372)
Iter 9: +++++++++:*(NumConst=9, SV=4, CEps=0.6684, QPEps=0.1100)
Iter 10: +++++++++.........:*(NumConst=10, SV=6, CEps=6.6058, QPEps=0.7849)
Iter 11: +++++++++:*(NumConst=11, SV=5, CEps=0.6736, QPEps=0.1720)
Iter 12: +++++++++.........:*(NumConst=12, SV=7, CEps=6.5042, QPEps=0.0546)
Iter 13: +++++++++:*(NumConst=13, SV=7, CEps=0.7213, QPEps=0.0003)
Iter 14: +++++++++:*(NumConst=14, SV=7, CEps=0.5101, QPEps=0.0002)
Iter 15: +++++++++:*(NumConst=15, SV=7, CEps=0.5249, QPEps=0.0001)
Iter 16: +++++++++.........:*(NumConst=16, SV=8, CEps=9.8416, QPEps=0.0001)
Iter 17: +++++++++:*(NumConst=17, SV=8, CEps=0.7642, QPEps=0.0000)
Iter 18: +++++++++:*(NumConst=18, SV=7, CEps=0.5125, QPEps=0.0505)
Iter 19: +++++++++.........:*(NumConst=19, SV=8, CEps=9.6710, QPEps=0.0000)
Iter 20: +++++++++:*(NumConst=20, SV=8, CEps=0.6460, QPEps=0.0001)
Iter 21: +++++++++.........:*(NumConst=21, SV=9, CEps=8.6713, QPEps=0.0000)
Iter 22: +++++++++:*(NumConst=22, SV=8, CEps=0.7957, QPEps=0.0000)
Iter 23: +++++++++.........:*(NumConst=23, SV=9, CEps=7.9962, QPEps=0.0000)
Iter 24: +++++++++:*(NumConst=24, SV=9, CEps=0.9250, QPEps=0.0000)
Iter 25: +++++++++.........:*(NumConst=25, SV=10, CEps=7.6019, QPEps=0.0000)
Iter 26: +++++++++:*(NumConst=26, SV=10, CEps=0.8825, QPEps=0.1014)
Iter 27: +++++++++:*(NumConst=27, SV=9, CEps=0.5448, QPEps=0.0000)
Iter 28: +++++++++:*(NumConst=28, SV=9, CEps=0.5838, QPEps=0.0000)
Iter 29: +++++++++.........:*(NumConst=29, SV=10, CEps=8.8644, QPEps=0.0000)
Iter 30: +++++++++:*(NumConst=30, SV=10, CEps=0.9067, QPEps=0.0597)
Iter 31: +++++++++:*(NumConst=31, SV=9, CEps=0.5211, QPEps=0.0000)
Iter 32: +++++++++.........:*(NumConst=32, SV=10, CEps=8.3347, QPEps=0.0000)
Iter 33: +++++++++:*(NumConst=33, SV=10, CEps=1.1690, QPEps=0.0937)
Iter 34: +++++++++:*(NumConst=34, SV=11, CEps=0.5734, QPEps=0.0409)
Iter 35: +++++++++.........:*(NumConst=35, SV=13, CEps=9.5552, QPEps=1.3895)
Iter 36: +++++++++.........:*(NumConst=36, SV=14, CEps=7.4474, QPEps=0.4203)
Iter 37: +++++++++:*(NumConst=37, SV=15, CEps=0.8106, QPEps=0.0540)
Iter 38: +++++++++:*(NumConst=38, SV=14, CEps=0.9464, QPEps=0.0967)
Iter 39: +++++++++:*(NumConst=39, SV=14, CEps=0.6833, QPEps=0.2211)
Iter 40: +++++++++.........:*(NumConst=40, SV=15, CEps=8.9685, QPEps=0.2668)
Iter 41: +++++++++:*(NumConst=41, SV=15, CEps=0.7328, QPEps=0.2141)
Iter 42: +++++++++.........:*(NumConst=42, SV=16, CEps=8.5396, QPEps=0.1534)
Iter 43: +++++++++:*(NumConst=43, SV=16, CEps=0.8276, QPEps=0.1316)
Iter 44: +++++++++.........:*(NumConst=44, SV=16, CEps=8.0318, QPEps=1.0968)
Iter 45: +++++++++.........:*(NumConst=45, SV=17, CEps=6.5243, QPEps=0.5761)
Iter 46: +++++++++:*(NumConst=46, SV=18, CEps=1.0581, QPEps=0.4215)
Iter 47: +++++++++.........:*(NumConst=47, SV=20, CEps=6.8691, QPEps=1.3381)
Iter 48: +++++++++.........:*(NumConst=48, SV=23, CEps=5.7122, QPEps=0.8335)
Iter 49: +++++++++:*(NumConst=49, SV=23, CEps=0.8139, QPEps=0.3602)
Iter 50: +++++++++:*(NumConst=50, SV=24, CEps=0.7685, QPEps=0.2652)
Iter 51: +++++++++:*(NumConst=51, SV=26, CEps=1.0267, QPEps=0.2733)
Iter 52: +++++++++:*(NumConst=52, SV=25, CEps=0.9456, QPEps=0.1630)
Iter 53: +++++++++.........:*(NumConst=53, SV=28, CEps=8.4646, QPEps=1.2276)
Iter 54: +++++++++:*(NumConst=54, SV=28, CEps=0.5566, QPEps=0.2370)
Iter 55: +++++++++:*(NumConst=55, SV=24, CEps=0.5971, QPEps=0.2642)
Iter 56: +++++++++.........:*(NumConst=56, SV=24, CEps=6.7748, QPEps=0.4813)
Iter 57: +++++++++:*(NumConst=57, SV=25, CEps=0.6673, QPEps=0.1905)
Iter 58: +++++++++.........:*(NumConst=58, SV=30, CEps=6.1751, QPEps=1.2157)
Iter 59: +++++++++:*(NumConst=59, SV=32, CEps=0.7893, QPEps=0.3746)
Iter 60: +++++++++:*(NumConst=60, SV=35, CEps=0.5528, QPEps=0.1463)
Iter 61: +++++++++:*(NumConst=61, SV=35, CEps=0.8655, QPEps=0.2721)
Iter 62: +++++++++:*(NumConst=62, SV=35, CEps=0.5472, QPEps=0.2285)
Iter 63: +++++++++.........:*(NumConst=62, SV=34, CEps=11.1754, QPEps=1.1298)
Iter 64: +++++++++.........:*(NumConst=63, SV=34, CEps=7.7522, QPEps=1.0584)
Iter 65: +++++++++:*(NumConst=64, SV=32, CEps=0.6768, QPEps=0.2852)
Iter 66: +++++++++:*(NumConst=64, SV=33, CEps=0.9832, QPEps=0.2728)
Iter 67: +++++++++:*(NumConst=65, SV=29, CEps=0.6759, QPEps=0.2630)
Iter 68: +++++++++:*(NumConst=66, SV=31, CEps=0.5169, QPEps=0.2522)
Iter 69: +++++++++.........:*(NumConst=67, SV=32, CEps=9.7490, QPEps=0.5671)
Iter 70: +++++++++:*(NumConst=68, SV=32, CEps=0.7428, QPEps=0.1993)
Iter 71: +++++++++.........:*(NumConst=69, SV=34, CEps=7.6418, QPEps=0.7502)
Iter 72: +++++++++:*(NumConst=70, SV=30, CEps=0.8085, QPEps=0.2851)
Iter 73: +++++++++.........:*(NumConst=71, SV=33, CEps=6.4924, QPEps=1.1331)
Iter 74: +++++++++:*(NumConst=72, SV=35, CEps=0.8560, QPEps=0.3249)
Iter 75: +++++++++:*(NumConst=72, SV=35, CEps=0.6143, QPEps=0.2177)
Iter 76: +++++++++:*(NumConst=73, SV=32, CEps=0.6985, QPEps=0.2903)
Iter 77: +++++++++:*(NumConst=74, SV=35, CEps=0.6240, QPEps=0.2824)
Iter 78: +++++++++:*(NumConst=75, SV=32, CEps=0.5296, QPEps=0.1433)
Iter 79: +++++++++.........:*(NumConst=76, SV=34, CEps=10.0656, QPEps=0.5818)
Iter 80: +++++++++:*(NumConst=77, SV=35, CEps=0.8328, QPEps=0.2770)
Iter 81: +++++++++.........:*(NumConst=78, SV=36, CEps=7.5827, QPEps=0.9812)
Iter 82: +++++++++:*(NumConst=78, SV=34, CEps=0.8852, QPEps=0.4042)
Iter 83: +++++++++.........:*(NumConst=79, SV=38, CEps=6.7595, QPEps=1.1191)
Iter 84: +++++++++:*(NumConst=80, SV=35, CEps=0.7163, QPEps=0.3105)
Iter 85: +++++++++:*(NumConst=81, SV=36, CEps=0.8656, QPEps=0.3066)
Iter 86: +++++++++:*(NumConst=82, SV=41, CEps=0.6073, QPEps=0.2344)
Iter 87: +++++++++.........:*(NumConst=83, SV=42, CEps=15.4892, QPEps=0.8937)
Iter 88: +++++++++.........:*(NumConst=84, SV=43, CEps=9.2539, QPEps=0.4326)
Iter 89: +++++++++:*(NumConst=85, SV=44, CEps=1.0635, QPEps=0.2855)
Iter 90: +++++++++:*(NumConst=85, SV=45, CEps=0.8916, QPEps=0.3410)
Iter 91: +++++++++.........:*(NumConst=86, SV=46, CEps=8.4209, QPEps=0.6119)
Iter 92: +++++++++:*(NumConst=86, SV=46, CEps=0.9488, QPEps=0.3607)
Iter 93: +++++++++:*(NumConst=87, SV=44, CEps=0.6142, QPEps=0.2256)
Iter 94: +++++++++:*(NumConst=88, SV=44, CEps=0.6058, QPEps=0.1847)
Iter 95: +++++++++.........:*(NumConst=89, SV=44, CEps=7.1436, QPEps=1.2036)
Iter 96: +++++++++:*(NumConst=90, SV=42, CEps=0.7340, QPEps=0.2815)
Iter 97: +++++++++.........:*(NumConst=91, SV=43, CEps=5.9513, QPEps=1.3844)
Iter 98: +++++++++:*(NumConst=90, SV=42, CEps=0.9151, QPEps=0.3692)
Iter 99: +++++++++:*(NumConst=90, SV=43, CEps=0.5951, QPEps=0.2519)
Iter 100: +++++++++.........:*(NumConst=91, SV=44, CEps=8.6999, QPEps=0.6772)
Iter 101: +++++++++:*(NumConst=91, SV=44, CEps=0.8040, QPEps=0.2982)
Iter 102: +++++++++.........:*(NumConst=92, SV=45, CEps=6.3276, QPEps=1.4572)
Iter 103: +++++++++.........:*(NumConst=92, SV=44, CEps=5.1166, QPEps=0.8881)
Iter 104: +++++++++:*(NumConst=93, SV=46, CEps=1.1906, QPEps=0.4527)
Iter 105: +++++++++:*(NumConst=94, SV=45, CEps=0.9376, QPEps=0.2841)
Iter 106: +++++++++:*(NumConst=94, SV=44, CEps=0.7428, QPEps=0.3441)
Iter 107: +++++++++:*(NumConst=95, SV=44, CEps=0.5802, QPEps=0.2620)
Iter 108: +++++++++.........:*(NumConst=95, SV=45, CEps=10.7861, QPEps=0.9320)
Iter 109: +++++++++:*(NumConst=96, SV=44, CEps=0.6032, QPEps=0.2719)
Iter 110: +++++++++.........:*(NumConst=96, SV=49, CEps=7.6132, QPEps=1.0665)
Iter 111: +++++++++:*(NumConst=96, SV=48, CEps=0.8286, QPEps=0.4131)
Iter 112: +++++++++:*(NumConst=97, SV=44, CEps=0.5878, QPEps=0.1866)
Iter 113: +++++++++.........:*(NumConst=98, SV=45, CEps=8.9806, QPEps=0.7102)
Iter 114: +++++++++:*(NumConst=98, SV=46, CEps=0.9962, QPEps=0.4656)
Iter 115: +++++++++:*(NumConst=98, SV=43, CEps=0.5834, QPEps=0.1250)
Iter 116: +++++++++.........:*(NumConst=98, SV=45, CEps=7.3015, QPEps=1.3620)
Iter 117: +++++++++:*(NumConst=99, SV=45, CEps=0.5412, QPEps=0.2285)
Iter 118: +++++++++:*(NumConst=100, SV=39, CEps=0.6337, QPEps=0.2505)
Iter 119: +++++++++.........:*(NumConst=101, SV=43, CEps=7.8743, QPEps=0.8720)
Iter 120: +++++++++:*(NumConst=101, SV=44, CEps=0.8526, QPEps=0.3936)
Iter 121: +++++++++:*(NumConst=100, SV=41, CEps=0.6165, QPEps=0.3025)
Iter 122: +++++++++.........:*(NumConst=101, SV=43, CEps=10.1772, QPEps=0.7405)
Iter 123: +++++++++:*(NumConst=101, SV=43, CEps=0.5484, QPEps=0.2400)
Iter 124: +++++++++.........:*(NumConst=100, SV=43, CEps=7.0523, QPEps=0.6545)
Iter 125: +++++++++:*(NumConst=100, SV=44, CEps=0.9094, QPEps=0.3573)
Iter 126: +++++++++.........:*(NumConst=101, SV=47, CEps=6.0417, QPEps=1.3501)
Iter 127: +++++++++:*(NumConst=101, SV=47, CEps=0.8570, QPEps=0.3980)
Iter 128: +++++++++:*(NumConst=102, SV=47, CEps=0.7404, QPEps=0.3177)
Iter 129: +++++++++:*(NumConst=103, SV=47, CEps=0.6015, QPEps=0.1542)
Iter 130: +++++++++.........:*(NumConst=104, SV=48, CEps=12.8038, QPEps=0.4966)
Iter 131: +++++++++:*(NumConst=104, SV=48, CEps=0.7649, QPEps=0.1186)
Iter 132: +++++++++:*(NumConst=105, SV=48, CEps=0.5398, QPEps=0.1618)
Iter 133: +++++++++.........:*(NumConst=105, SV=49, CEps=7.2936, QPEps=1.4046)
Iter 134: +++++++++:*(NumConst=105, SV=50, CEps=0.5546, QPEps=0.1819)
Iter 135: +++++++++:*(NumConst=106, SV=50, CEps=0.6219, QPEps=0.2073)
Iter 136: +++++++++:*(NumConst=107, SV=48, CEps=0.7144, QPEps=0.1583)
Iter 137: +++++++++.........:*(NumConst=108, SV=49, CEps=12.8158, QPEps=1.2278)
Iter 138: +++++++++:*(NumConst=109, SV=48, CEps=0.5473, QPEps=0.1682)
Iter 139: +++++++++:*(NumConst=109, SV=50, CEps=0.5255, QPEps=0.2079)
Iter 140: +++++++++.........:*(NumConst=110, SV=50, CEps=9.5947, QPEps=1.2345)
Iter 141: +++++++++.........:*(NumConst=111, SV=47, CEps=6.4181, QPEps=1.3593)
Iter 142: +++++++++:*(NumConst=111, SV=46, CEps=0.6950, QPEps=0.2215)
Iter 143: +++++++++:*(NumConst=112, SV=45, CEps=1.0307, QPEps=0.2176)
